,id,dist,task
722,39608,16.724719101123597,42
723,39610,16.72064061515514,42
724,39611,16.718637992831543,42
725,39613,16.71707066491155,43
726,39619,16.715479452933966,43
727,39620,16.714292128489326,43
728,39626,16.71293957769772,43
729,39627,16.711385187083547,43
730,39628,16.70980033043456,43
731,39629,16.70733080782226,43
732,39638,16.70574992005117,43
733,39642,16.704390530879515,43
734,39647,16.702975551122705,43
735,39652,16.751773185111613,44
736,39656,16.751976089790467,44
737,39660,16.751302934697737,44
738,39661,16.74800448871165,44
739,39663,16.74344249867334,44
740,39665,16.74042249608566,44
741,39668,16.73591258456863,44
742,39670,16.73499880468563,44
743,39672,16.73462789266835,44
744,39673,16.734979233096745,44
745,39674,16.733246173190125,44
746,39677,16.73821436825766,44
747,39678,16.736615595416044,44
748,39679,16.73313511193496,44
749,39681,16.730377505048935,44
750,39684,16.728613404745964,44
751,39686,16.726990257610083,44
752,39687,16.723492762043687,44
753,39689,16.719971114498918,44
754,39690,16.716640782921658,44
755,39695,16.714082486035757,45
756,39696,16.711017726067347,45
757,39701,16.70322239571167,45
758,39704,16.7003453488515,45
759,39706,16.697116122575537,45
760,39709,16.694715918502567,45
761,39710,16.690799794107555,45
762,39711,16.687587629875896,45
763,39712,16.685390164656646,45
764,39714,16.68314077877621,45
765,39715,16.680542577425996,45
766,39716,16.67859409711203,45
767,39717,16.675535580341624,45
768,39719,16.673032858814352,45
769,39726,16.670451708748622,45
